id,prompt_name,input,target
11,creative_writing,What should I do on a free afternoon in San Francisco?,"You can visit and take photos at San Francisco's landmarks such as Pier 39 or Golden Gate Bridge. If you enjoy walking outdoors, there are several large parks in the city. You can visit Golden Gate Park and the various attractions and museums located in the park. The Presidio is also a popular park where you can get some of the best views of Golden Gate Bridge."
12,brainstorming,What should I do this spring in San Francisco?,"During the spring time, people in San Francisco enjoy visiting the parks for the cherry blossom, check out the open markets when the weather is nice, and explore the Golden Gate Park. If you want to venture farther, you can enjoy the wildflower festival in Half Moon Bay, take the ferry to Sausalito, or even spot Humpback whales in the Bay Area!"
13,open_qa,"List some of the characters on The X-Files who were infected by, but did not die from, exposure to the alien black oil virus.","Alex Krycek, Dana Scully, Fox Mulder, Marita Covarrubias, Dmitri, Bernard Gauthier, Joan Gauthier"
14,general_qa,Why are cookies delicious?,"Cookies are delicious typically because they contain fat (oils usually), sugar, and salt in addition to carbohydrates from flour, many ingredients of which human taste buds enjoy. They are also baked, adding the heat element, which chemically alters them to be more palatable."
15,classification,"Tell me whether these beverages are acidic: Orange Juice, Grapefruit Juice, Coca-Cola, Soy Milk, Coconut Water, Carrot Juice","Orange juice is a highly acidic beverage.
Grapefruit juice is a highly acidic beverage.
Coca-Cola is a highly acidic beverage.
Soy milk is low in acidity.
Coconut water is low in acidity.
Carrot juice is low in acidity."
16,open_qa,"which weighs more, cold or hot water?",Cold water weighs more than hot water
17,open_qa,Who was the first Time Magazine Man of the Year?,Charles Lindbergh was named Time Magazine's Man of the Year in 1927.
18,general_qa,Write a review of Carlos Ruiz Zafon's book The Shadow of the Wind,"What a beautiful book; it reminds me of Murakami - magical yet still very grounded. The Shadow of the Wind has everything going for it: mystical Barcelona, heartwarming characters, poetic language, intriguing plot.

The language and setting of the book was amazing. Zafon is extremely talented, his words are elegant and poetic, and he paints Barcelona in a myriad of different ways: dark and gothic at night, or blissfully cheerful, or dreary gloom, all depending on the characters.

I loved the cast of Shadow of the Wind. Each character was well developed and given an appropriate backstory. They bumped into each other in mysterious turns, and their interactions, like Daniel and Clara, or Daniel and Nuria, were heart wrenching.

But most of all, Zafon tells a wonderful story. I loved the parallels between Julian Carax and Daniel, and how Daniel's life becomes entangled with Julian's. It makes it feel much more like magical realism, and makes for an entertaining read."
19,general_qa,Can I travel to Canada from the United States with my dog?,You can travel into Canada with a dog as long as you have proof of an unexpired rabies vaccination.
20,creative_writing,Propose a text about young boy that wanted to fly his kite over the skyscrapers. Make this a very positive story with a twist,"Bob is a fun a loving kid that spends lots of his free time outdoors. Whenever there is a good wind he takes his kite, a gift from his dad, and goes out to play and fly. One day his dad was going to a very big city to talk with some of his partners. Bob got immediately very excited. It was his dream to take his kite and fly it from one of the very big and tall buildings. His dad made this all happen. Together with his son they went on the roof and played with the kite."
21,open_qa,What are the words of House Tyrell?,"""Growing Strong"""
22,closed_qa,"What record label did 101 Damnations go through?

Context:
101 Damnations is the debut studio album by English rock band Carter the Unstoppable Sex Machine, released on 15 January 1990 through Big Cat Records. After playing in different bands, James Robert ""Jim Bob"" Morrison and Les ""Fruitbat"" Carter formed Bob and played their first show in August 1987, before changing the name to Carter the Unstoppable Sex Machine. Over the next year, they played various shows across London before signing to Big Cat; with shows further north of the city in early 1989, a fanbase started building. The duo recorded their debut album with producer Simon Painter at Important Notice Studios, which was a garage on Painter's property, in Mitcham, South London. 101 Damnations is a punk rock and glam rock album that merged the styles of David Bowie and Pet Shop Boys, alongside loud guitars, drum machines and samples taken from films and TV shows.","101 Damnations was released on January 15, 1990 through Big Cat Records."
23,brainstorming,What are all the way one can travel from Boston to Philadelphia,"There are 3 mutually exclusive means of transport.
1. Air
2. Land
3. Sea

Within each option one can list a range of options. For example:
1. Air: take a commercial flight; take a private jet; fly yourself; take a hot air balloon, etc.
2. Land: walk, run, drive, ride a bus, ride a bike, ride a motorcycle, hitch hike, use a roller skate, train, etc.
3. Sea: swim, ride a personal boat, take a commercial boat ride, etc."
24,classification,"When being in cold weather, categorize each of the following as ""Useful"" or ""Not Useful"": Coat, Air Condition, Ice, Beanie, Pants, Bikini","Coat: Useful
Air Condition: Not Useful
Ice: Not Useful
Beanie: Useful
Pants: Useful
Bikini: Not Useful"
25,open_qa,When did Florida become a state?,"Florida became a state on March 3, 1845."
26,closed_qa,"what was population of India during Mauryan Era?

Context:
Prehistory to early 19th century
The following table lists estimates for the population of India (including what are now Pakistan and Bangladesh) from prehistory up until 1820. It includes estimates and growth rates according to five economic historians, along with interpolated estimates and overall aggregate averages derived from their estimates.[citation needed]

Estimates of historical world population

Year	Aggregate average	Period	Average
 % growth
/ century
Population	% of World population
10,000 BC	1,000	0.83%	Stone Age	30.28
4000 BC	1,000,000	30.83%
2000 BC	13,000,000	37.143%	Bronze Age	26.25
500 BC	25,000,000	41.70%	Iron Age	
400 BC	26,000,000	43.96%
200 BC	31,000,000	47.63%	Maurya era	
1 AD	35,000,000	35.56%	Classical
era	
200	41,000,000	36.15%
400	47,000,000	40%
500	50,000,000	43.58%
600	53,000,000	48.83%	Early
medieval
era	
700	60,000,000	56.67%
800	64,000,000	55%
900	70,000,000	53.34%
1000	79,000,000	30%
1100	83,000,000	35%	Late
medieval
era	
1200	86,000,000	36.67%
1300	91,000,000	38.34%
1400	97,000,000	30%
1500	105,000,000	21.67%
1600	140,000,000	23.33%	Early modern era	
1650	170,000,000	26.15%
1700	140,000,000	20%
1750	183,000,000	21.53%
1800	200,000,000	20%
1820	210,000,000	19.09%
The population grew from the South Asian Stone Age in 10,000 BC to the Maurya Empire in 200 BC at a steadily increasing growth rate, before population growth slowed down in the Early Medieval Era up to 700 AD, and then started decreasing the up to 1500 AD.

Under Mughal Empire, India experienced a high economic and demographic upsurge, due to Mughal agrarian reforms that intensified agricultural production. 15% of the population lived in urban centres, higher than the percentage of the population in 19th-century British India and contemporary Europe up until the 19th century. Those estimates were criticised by Tim Dyson, who considers them exaggerations. According to Dyson, urbanisation of the Mughal empire was less than 9%

Under the reign of Akbar (reigned 1556–1605) in 1600, the Mughal Empire's urban population was up to 17 million people, larger than the urban population in Europe. By 1700, Mughal India had an urban population of 23 million people, larger than British India's urban population of 22.3 million in 1871. Nizamuddin Ahmad (1551–1621) reported that, under Akbar's reign, Mughal India had 120 large cities and 3,200 townships. A number of cities in India had a population between a quarter-million and half-million people, with larger cities including Agra (in Agra Subah) with up to 800,000 people and Dhaka (in Bengal Subah) with over 1 million people. Mughal India also had a large number of villages, with 455,698 villages by the time of Aurangzeb (reigned 1658–1707).","It was around 31,000,000 during Maurya Era (200BC) ."
27,general_qa,How much wood could a woodchuck chuck if a woodchuck could chuck wood?,"The answer to this depends on various factors.  If the wood if very heavy, a woodchuck may not be capable of chucking it at all.  If the pieces are smaller and the woodchuck was relatively young and spritely, then they could probably chuck at least 30 to 40lbs within a few hours.  An older woodchuck may no longer have dexterity in its hands or the sufficient strength needed to chuck any piece of wood regardless of its size or weight."
28,closed_qa,"Which record label created Vinyl

Context:
The LP (from ""long playing"" or ""long play"") is an analog sound storage medium, a phonograph record format characterized by: a speed of 33+1⁄3 rpm; a 12- or 10-inch (30- or 25-cm) diameter; use of the ""microgroove"" groove specification; and a vinyl (a copolymer of vinyl chloride acetate) composition disk. Introduced by Columbia in 1948, it was soon adopted as a new standard by the entire record industry. Apart from a few relatively minor refinements and the important later addition of stereophonic sound, it remained the standard format for record albums (during a period in popular music known as the album era) until its gradual replacement from the 1980s to the early 2000s, first by cassettes, then by compact discs, and finally by digital music distribution.",Vinyl was introduced by Columbia in 1948
29,classification,"Identify which animal is domesticated or wild: Silkmoth, Roman snail","Silkmouth is domesticated, Roman snail is wild."
30,general_qa,Why isn't multi-threading making my Python code faster? How can I fix it.,"Python restricts access to the interpreter with a Global Interpreter Lock, referred to as the GIL, for internal thread-safety requirements. Unfortunately, this design decision restricts only allows one thread to interpret Python code at a time, even on a machine with the capability to run multiple threads together. 

If you wish to run Python code on a set of data, and the data can be broken up into independent segments (a process known as data partitioning), you may wish to look into the multiprocessing library in Python. 

As an example, consider the function foo which takes one argument, arg1, and say you wanted to run the foo function on a number of values, say, val1, val2, and val3.

def foo(arg1):
  # do something

if __name__ == '__main__':
  foo(val1)
  foo(val2)
  foo(val3)

To have foo execute on multiple processes together, you could use the multiprocessing Pool  to run multiple worker processes together:

from multiprocessing import Pool

def foo(arg1):
  # do something

if __name__ == '__main__':
  p = Pool()
  p.map(foo, [val1, val2, val3])

The multiprocessing library also provides various other APIs for parallel programming. Would you like to know more?"
31,closed_qa,"Given a reference tax about a footballer, tell me when they were born, what is their nationalities and which years they won the FIFA World cup.

Context:
Lionel Andrés Messi[note 1] (Spanish pronunciation: [ljoˈnel anˈdɾes ˈmesi] (listen); born 24 June 1987), also known as Leo Messi, is an Argentine professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and captains the Argentina national team. Widely regarded as one of the greatest players of all time, Messi has won a record seven Ballon d'Or awards[note 2] and a record six European Golden Shoes, and in 2020 he was named to the Ballon d'Or Dream Team. Until leaving the club in 2021, he had spent his entire professional career with Barcelona, where he won a club-record 34 trophies, including 10 La Liga titles, seven Copa del Rey titles and four UEFA Champions Leagues. With his country, he won the 2021 Copa América and the 2022 FIFA World Cup. A prolific goalscorer and creative playmaker, Messi holds the records for most goals in La Liga (474), most hat-tricks in La Liga (36) and the UEFA Champions League (eight), and most assists in La Liga (192) and the Copa América (17). He also has the most international goals by a South American male (102). Messi has scored over 800 senior career goals for club and country, and has the most goals by a player for a single club (672).","Lionel Andrés Messi, also known as Leo Messi, was born 24 June 1987. He is an Argentine professional footballer. In 2022, He won 2022 FIFA World Cup with his country."
32,closed_qa,"Given a reference text about the Battle of Thermopylae, tell me when the battle was fought, who the battle was between, how many Greek and Persian forces there were, how the Persian army was able to flank the Greek forces and who won the battle?

Context:
The Battle of Thermopylae (/θərˈmɒpɪliː/ thər-MOP-i-lee; Greek: Μάχη τῶν Θερμοπυλῶν, Máchē tōn Thermopylōn) was fought in 480 BC between the Achaemenid Persian Empire under Xerxes I and an alliance of Greek city-states led by Sparta under Leonidas I. Lasting over the course of three days, it was one of the most prominent battles of both the second Persian invasion of Greece and the wider Greco-Persian Wars.

The engagement at Thermopylae occurred simultaneously with the Battle of Artemisium: between July and September 480 BC. The second Persian invasion under Xerxes I was a delayed response to the failure of the first Persian invasion, which had been initiated by Darius I and ended in 490 BC by an Athenian-led Greek victory at the Battle of Marathon. By 480 BC, a decade after the Persian defeat at Marathon, Xerxes had amassed a massive land and naval force, and subsequently set out to conquer all of Greece. In response, the Athenian politician and general Themistocles proposed that the allied Greeks block the advance of the Persian army at the pass of Thermopylae while simultaneously blocking the Persian navy at the Straits of Artemisium.

Around the start of the invasion, a Greek force of approximately 7,000 men led by Leonidas marched north to block the pass of Thermopylae. Ancient authors vastly inflated the size of the Persian army, with estimates in the millions, but modern scholars estimate it at between 120,000 and 300,000 soldiers. They arrived at Thermopylae by late August or early September; the outnumbered Greeks held them off for seven days (including three of direct battle) before their rear-guard was annihilated in one of history's most famous last stands. During two full days of battle, the Greeks blocked the only road by which the massive Persian army could traverse the narrow pass. After the second day, a local resident named Ephialtes revealed to the Persians the existence of a path leading behind the Greek lines. Subsequently, Leonidas, aware that his force was being outflanked by the Persians, dismissed the bulk of the Greek army and remained to guard their retreat along with 300 Spartans and 700 Thespians. It has been reported that others also remained, including up to 900 helots and 400 Thebans. With the exception of the Thebans, most of whom reportedly surrendered, the Greeks fought the Persians to the death.

Themistocles was in command of the Greek naval force at Artemisium when he received news that the Persians had taken the pass at Thermopylae. Since the Greek defensive strategy had required both Thermopylae and Artemisium to be held, the decision was made to withdraw to the island of Salamis. The Persians overran Boeotia and then captured the evacuated city of Athens. The Greek fleet—seeking a decisive victory over the Persian armada—attacked and defeated the invading force at the Battle of Salamis in late 480 BC. Wary of being trapped in Europe, Xerxes withdrew with much of his army to Asia, reportedly losing many of his troops to starvation and disease while also leaving behind the Persian military commander Mardonius to continue the Achaemenid Empire's Greek campaign. However, the following year saw a Greek army decisively defeat Mardonius and his troops at the Battle of Plataea, ending the second Persian invasion.

Both ancient and modern writers have used the Battle of Thermopylae as a flagship example of the power of an army defending its native soil. The performance of the Greek defenders is also used as an example of the advantages of training, equipment, and use of terrain as force multipliers.","The Battle of Thermopylae was fought in 480 BC. The battle was fought between the Persian Empire, led by Xerxes I, and a combination of allied Greek city-states led by Leonidas I of Sparta. There were approximately 7,000 Greek men led by Leonidas I and an estimated 120,000 - 300,000 Persian soldiers led by Xerxes I. The Persian army was able to outflank the Greek army because a local person named Ephialtes informed the Persians that there was an unguarded path that lead behind the Greek lines. The Greek army made one final stand but ultimately were unsuccessful and were over taken by the Persian army."
33,classification,Which is a species of fish? Lion or Lionfish,Lionfish
34,information_extraction,"Extract a list of all of the communties and counties mentioned in this article about SH 115.

Context:
SH 115 begins at an intersection with Interstate 20 and Farm to Market Road 1927 in Pyote. The route travels north along the eastern edge of town and through Far West Texas oil fields before reaching Wink. The route then turns northeast, next reaching Kermit. The route travels through downtown Kermit, passing the Winkler County Courthouse. The route continues to the northeast, crossing oil fields of Winkler and Andrews Counties, before reaching Andrews. The route travels through Andrews, intersecting U.S. Route 385. The route continues northeast, crossing through the intersection of Andrews, Gaines, Martin, and Dawson Counties before reaching its terminus at SH 349 at the unincorporated community of Patricia, Texas.","Pyote, Wink, Kermit, Winkler, Andrews, Gaines, Martin, Dawson, Patricia"
35,creative_writing,"As a 16-year old high school student, write a short summary of your visit to the Vermeer exhibition in the Rijksmuseum.","My friends and I  went to the Rijksmuseum the other day to see the Vermeer exhibition. I have to say, I wasn't too excited about it at first, but it turned out to be pretty cool. Vermeer was a Dutch painter from the 1600s and he was known for his realistic paintings of everyday life. We saw a lot of his paintings and they were really impressive, especially when you consider the time period they were from. My favorite painting was definitely the Girl with a Pearl Earring. The colors and lighting were amazing, and it was kind of mesmerizing to look at. We also saw some other paintings from different artists, like Rembrandt and Frans Hals, and they were all really cool too. It was a nice break from all the usual teenage stuff and I actually learned something new."
36,general_qa,What are the merits of skipping breakfast? Can you target your answer to a typical American and describe in layman's terms rather than detailed scientific jargon?,"A truism instilled in youths is ""Breakfast is the most important meal of the day"". A well-rounded breakfast may indeed lead to a productive and energetic day. However, advertisements often position breakfast as a dessert rather than a well-rounded meal. For example, many eat sugary cereal with large servings of milk to kickstart their day. This is ill-advised. One should consider a glass of water or cup of coffee in place of breakfast. Skipping breakfast creates a ""fast"" in the body, which allows restoration of vital biological functions without spending cycles digesting new nutrients. In short, if one skips breakfast, additional time and focused energy may be awarded, especially if the breakfast has a poor nutrient profile."
37,brainstorming,What is the oldest film set in ancient Egypt?,The oldest film set in ancient Egypt is from 1899! Cléopâtre from director Georges Méliès.
38,classification,"Classify each of the following as creative or analytical: painting, math, physics, chemistry, drawing, filming","Painting: Creative
Math: Analytical
Physics: Analytical
Chemistry: Analytical
Drawing: Creative
Filming: Creative"
39,summarization,"Where is Pleasanton?

Context:
Pleasanton is a city in Alameda County, California, United States. Located in the Amador Valley, it is a suburb in the East Bay region of the San Francisco Bay Area. The population was 79,871 at the 2020 census. In 2005 and 2007, Pleasanton was ranked the wealthiest middle-sized city in the United States by the Census Bureau. Pleasanton is home to the headquarters of Safeway, Workday, Ellie Mae, Roche Molecular Diagnostics, Blackhawk Network Holdings, and Veeva Systems. Other major employers include Kaiser Permanente, Oracle and Macy's. Although Oakland is the Alameda County seat, a few county offices are located in Pleasanton. The Alameda County Fairgrounds are located in Pleasanton, where the county fair is held during the last week of June and the first week of July. Pleasanton Ridge Regional Park is located on the west side of town.","Pleasanton is city in California, United States. It is located about 30-45 miles east of San Francisco. It is known for being Headquarter for multiple tech companies like veeva, workday and safeway."
40,open_qa,What is geovisualization?,"Geovisualization or geovisualisation (short for geographic visualization), also known as cartographic visualization, refers to a set of tools and techniques supporting the analysis of geospatial data through the use of interactive visualization.

Like the related fields of scientific visualization and information visualization geovisualization emphasizes knowledge construction over knowledge storage or information transmission.[To do this, geovisualization communicates geospatial information in ways that, when combined with human understanding, allow for data exploration and decision-making processes.

Traditional, static maps have a limited exploratory capability; the graphical representations are inextricably linked to the geographical information beneath. GIS and geovisualization allow for more interactive maps; including the ability to explore different layers of the map, to zoom in or out, and to change the visual appearance of the map, usually on a computer display. Geovisualization represents a set of cartographic technologies and practices that take advantage of the ability of modern microprocessors to render changes to a map in real time, allowing users to adjust the mapped data on the fly."
41,open_qa,What is Palmitic acid?,"Palmitic acid (hexadecanoic acid in IUPAC nomenclature) is a fatty acid with a 16-carbon chain. It is the most common saturated fatty acid found in animals, plants and microorganisms. Its chemical formula is CH3(CH2)14COOH, and its C:D (the total number of carbon atoms to the number of carbon–carbon double bonds) is 16:0. It is a major component of the oil from the fruit of oil palms (palm oil), making up to 44% of total fats. Meats, cheeses, butter, and other dairy products also contain palmitic acid, amounting to 50–60% of total fats. Palmitates are the salts and esters of palmitic acid. The palmitate anion is the observed form of palmitic acid at physiologic pH (7.4)."
42,classification,"Tell me whether these are a solid, liquid, or gas","book, oxygen, water, juice, coffee, nitrogen, mug, glasses, metal"
43,open_qa,Where did Father's Day originate?,"Father's Day was founded in Spokane, Washington."
44,closed_qa,"Based on this article, considerations of what time zone is used for determining what land is in the dead man zone?

Context:
The dead man zone is the area directly around a bushfire that is likely to burn within five minutes given the current wind conditions or an anticipated change in wind direction. The distance this zone extends from the firefront is highly dependent on terrain, windspeed, fuel type and composition, relative humidity and ambient temperature, and can range from under 100 metres (330 ft) to well over 1 kilometre (3,300 ft).",A five minute period in the future is used for creating the dead man zone.
45,general_qa,What is the city of Seattle known for?,"Seattle is located in the northwest corner of the United States and is known for its overcast and rainy weather. Seattle has a strong coffee culture, in part because Starbucks was started there. The surrounding Cascade mountains and Puget Sound provide plenty of outdoor adventures, such as boating, rock climbing, and hiking. Many famous musicians started in Seattle, including Nirvana and Macklemore."
46,brainstorming,Give me a list of basic ingredients for baking cookies,"To bake cookies you will need flour, sugar, eggs, milk, butter, baking powder, and if you want; you can add chocolate chips, cinnamon, walnuts, or macadamia nuts.  By combining the ingredients you will form a soft dough that you can scoop onto a baking sheet and bake in the oven until cooked thoroughly through."
47,general_qa,Why is it important to lift weights?,"Lifting weights is important for many reasons. Lifting weights can impact a body's physical appearance and strength, has anti-aging benefits, helps prevent osteoporosis, improves joint health, and improves cardiovascular health. Additionally, there are many popular competitions centered around strength and conditioning which has indirectly promoted various strength sports throughout the world."
48,open_qa,United Nation General Assembly has declared the year 2023 as,The International Year of Millet
49,brainstorming,"Name three dishes that were developed from conditions of scarcity or having to ""make do” with available materials or ingredients.","1. Bouillabaisse - a French seafood stew, originated with making do with whatever catch a fisherman couldn’t sell.  
2. Congee - an Asian dish which involves a small amount of rice being cooked in water to a large volume of rice porridge; the idea is to stretch rice and feed more people with less food; often served at times of famine in the old days.
3. Budae Jjigae - a Korean stew also known as Army Stew; it  came about after Korean when resourceful Koreans were starving and salvaged the American leftover canned food (e.g. spam, beans, hotdogs, etc.) to make stew with kimchi and instant noodles."
