id,prompt_name,input,target
10,task104_semeval_2019_task10_closed_vocabulary_mathematical_answer_generation,"You are given a mathematical question described with a circumscribed mathematical vocabulary. Questions in this task usually contain some variables (e.g. X, Y), equations (e.g. X+Y=3) and some relationships (X is greater than Y). Often you need to find the value of the variable using equations and relationships. You are also given 4 or 5 answer options (associated with ""A"", ""B"", ""C"", ""D"", ""E""). Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D', 'E'. LaTeX mathematical format (the standard way to express mathematical expressions in the typesetting software known as LaTeX) is used to express equations. Each question is solvable with high school math knowledge. Give only one answer for each question.

If \(3y^4 + xy - x^2 = y^2 - 25\) and \(y = 0\), how many possible values of \(x\) are there?
(A)0 (B)1 (C)2 (D)3 (E)4",C
11,task110_logic2text_sentence_generation,"In this task, you are given commands (in terms of logical operations) to select relevant rows from the given table. Your job is to generate a natural language interpretation of the given command. 
 Here are the definitions of logical operators: 
 1. count: returns the number of rows in the view 
 2. only: returns whether there is exactly one row in the view 
 3. hop: returns the value under the header column of the row 
 4. and: returns the boolean operation result of two arguments 
 5. max/min/avg/sum: returns the max/min/average/sum of the values under the header column 
 6. nth max/nth min: returns the n-th max/n-th min of the values under the header column 
 7. argmax/argmin: returns the row with the max/min value in header column 
 8. nth argmax/nth argmin: returns the row with the n-th max/min value in header column 
 9. eq/not eq: returns if the two arguments are equal 
 10. round eq: returns if the two arguments are roughly equal under certain tolerance 
 11. greater/less: returns if argument 1 is greater/less than argument 2 
 12. diff: returns the difference between two arguments 
 13. filter eq/not eq: returns the subview whose values under the header column is equal/not equal to argument 3 
 14. filter greater/less: returns the subview whose values under the header column is greater/less than argument 3 
 15. filter greater eq /less eq: returns the subview whose values under the header column is greater/less or equal than argument 3 
 16. filter all: returns the view itself for the case of describing the whole table 
 17. all eq/not eq: returns whether all the values under the header column are equal/not equal to argument 3 
 18. all greater/less: returns whether all the values under the header column are greater/less than argument 3 
 19. all greater eq/less eq: returns whether all the values under the header column are greater/less or equal to argument 3 
 20. most eq/not eq: returns whether most of the values under the header column are equal/not equal to argument 3 
 21. most greater/less: returns whether most of the values under the header column are greater/less than argument 3 
 22. most greater eq/less eq: returns whether most of the values under the header column are greater/less or equal to argument 3

eq { count { filter_eq { all_rows ; laps ; 200 } } ; 4 } = true",select the rows whose laps record is equal to 200 . the number of such rows is 4 .
12,task061_ropes_answer_generation,"You are given a background paragraph that describes one or more causal or qualitative relationships such as a relationship in economics or a scientific law and a story that makes use of the concepts or the relationship described in the provided paragraph. You are also given a question about the story that requires an understanding of the relationship described in the background paragraph and the story. You need to come up with an answer to the given question; the answer will be a span from either the question or the story. In order to correctly answer the given question, you need to understand the relationship mentioned in the background paragraph and should be able to use it to understand that in the story. Your answer can not consist of any word that is not mentioned in any of these: the background paragraph, the story, or the question. You can directly copy and paste a span from the story or the question while answering the given question.

Background Paragraph: As a cell grows, its volume increases more quickly than its surface area. If a cell was to get very large, the small surface area would not allow enough nutrients to enter the cell quickly enough for the cell’s needs. This idea is explained in Figure below . However, large cells have a way of dealing with some size challenges. Big cells, such as some white blood cells, often grow more nuclei so that they can supply enough proteins and RNA for the cell’s requirements. Large, metabolically active cells often have lots of cell protrusions, resulting in many folds throughout the membrane. These folds increase the surface area available for transport of materials into or out of the cell. Such cell types are found lining your small intestine, where they absorb nutrients from your food through protrusions called microvilli . 
Story: There are two cells inside a Petri dish in a laboratory, cell X and cell Z. These cells are from the same organism, but are not the same age. Cell X was created two weeks ago, and cell Z was created one month ago. Therefore, cell Z has had two extra weeks of growth compared to cell X. 
Question: Which cell has a larger volume?",cell Z.
13,task078_all_elements_except_last_i,"In this task, you are given inputs i and A, where i is an integer and A is a list. You need to list all the elements of A preceding the last i elements. i will always have a value less than the length of A.

5, ['7101', '4971', '9085', '2397', '6229', 'e', 'k', 'N', '5173', '4903', '2407', '1081', '8519', '2961']","7101, 4971, 9085, 2397, 6229, e, k, N, 5173"
14,task103_facts2story_long_text_generation,"In this task, five ordered key facts are given. All the given facts are expressed in natural language. Your job is to generate a story 100 to 1000 words long, that includes all the facts given as input in their order of appearance while expanding upon them to produce a broader, yet coherent, narrative.

Fact1: young woman goes dipping in ocean, Fact2: medical examiner 's ruling that death was due to shark attack leads police chief Martin Brody to close beaches, Fact3: Hooper and Brody find half-sunken vessel while searching night waters in Hooper 's boat, Fact4: huge great white shark refuses to close beaches, Fact5: Quint Brody and Hooper set out on Quint 's boat to hunt shark","During a beach party at dusk on Amity Island, a young woman, Chrissie Watkins, goes skinny dipping in the ocean. While treading water, she is violently pulled under. The next day, her partial remains are found on shore. The medical examiners ruling that the death was due to a shark attack leads police chief Martin Brody to close the beaches. Mayor Larry Vaughn overrules him, fearing that the towns summer economy will be ruined. The coroner now concurs with the mayors theory that Watkins was killed in a boating accident. Brody reluctantly accepts their conclusion until another fatal shark attack occurs shortly thereafter. A bounty is placed on the shark, prompting an amateur sharkhunting frenzy. Local professional shark hunter Quint offers his services for 10,000. Meanwhile, consulting oceanographer Matt Hooper examines Watkinss remains, and confirms her death was caused by a shark—an unusually large one. When local fishermen catch a tiger shark, the mayor proclaims the beaches safe. Hooper disputes that it is the same predator, confirming this after no human remains are found inside it. Hooper and Brody find a halfsunken vessel while searching the night waters in Hoopers boat. Underwater, Hooper retrieves a sizable great white sharks tooth embedded in the submerged hull. He drops it in fright after encountering a partial corpse. Vaughn discounts Brody and Hoopers claims that a huge great white shark is responsible for the deaths, and refuses to close the beaches, allowing only added safety precautions. On the Fourth of July weekend, tourists pack the beaches. Following a juvenile prank, the real shark enters a nearby estuary, killing a boater and causing Brodys oldest son, Michael, to go into shock. Brody then convinces Vaughn to hire Quint. Quint, Brody, and Hooper set out on Quints boat, the Orca, to hunt the shark. While Brody lays down a chum line, Quint waits for an opportunity to hook the shark. Without warning, it appears behind the boat. Quint, estimating its length at 25 feet 7.6 m, harpoons it with a line attached to a flotation barrel, but the shark pulls the barrel underwater and disappears. At nightfall, the shark returns unexpectedly, ramming the boats hull, and disabling the power. The men work through the night, repairing the engine. In the morning, Brody attempts to call the Coast Guard, but Quint smashes the radio. After a long chase, Quint harpoons another barrel into the shark. The line is tied to the stern cleats, but the shark drags the boat backward, swamping the deck and flooding the engine compartment, before breaking the cleats off. Quint severs the line to prevent the transom from being pulled out. He heads toward shore to draw the shark into shallower waters, but the overtaxed engine fails. With the Orca slowly sinking, the trio attempt a riskier approach. Hooper puts on scuba gear and enters the water in a sharkproof cage, intending to lethally inject the shark with strychnine, using a hypodermic spear. The shark demolishes the cage before Hooper can inject it, but he manages to escape to the seabed. The shark then attacks the boat directly and devours Quint. Trapped on the sinking vessel, Brody stuffs a pressurized scuba tank into the sharks mouth, and, climbing the mast, shoots the tank with a rifle. The resulting explosion obliterates the shark. Hooper surfaces, and he and Brody paddle to Amity Island clinging to boat wreckage."
15,task076_splash_correcting_sql_mistake,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1.

SQL: SELECT T2.Name FROM program AS T1 JOIN channel AS T2 JOIN broadcast AS T3 ON T1.Program_ID = T3.Program_ID AND T3.Channel_ID = T2.Channel_ID WHERE T1.Origin ! = ""Beijing""
Feedback: The ""channel's Name"" is wrong . Use ""program's Name"" instead .",SELECT name FROM program WHERE origin != 'Beijing'
16,task109_smsspamcollection_spamsmsdetection,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.

25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.",spam
17,task023_cosmosqa_question_generation,"Based on the given context, craft a common-sense question, especially those that are LONG, INTERESTING, and COMPLEX. The goal is to write questions that are easy for humans and hard for AI machines! To create such questions, here are some suggestions: A. What may (or may not) be the plausible reason for an event? B. What may (or may not) happen before (or after, or during) an event? C. What may (or may not) be a plausible fact about someone (or something)? D. What may (or may not) happen if an event happens (or did not happen)? You can also create other types of questions. DO NOT make your question answerable without looking at the context, or question of which the correct answer can be directly extracted from the context. DO NOT ask a question that requires very specialized knowledge that is not common sense. DO NOT ask too simple or too short questions. Your question must be related to the context and answerable with common sense. Try to add more variations and complexity to the questions.

Context: So , last day in Seattle , and my flight was at 1:30 . I got to chit chat with my old manager ( more like a mentor ) , and left Seattle feeling really good and inspired . .",Why did I chit chat with my old manager ?
18,task078_all_elements_except_last_i,"In this task, you are given inputs i and A, where i is an integer and A is a list. You need to list all the elements of A preceding the last i elements. i will always have a value less than the length of A.

3, ['Y', '8161', 'z', 'I', 'X', 'U', 'k', '4305', 's', 'i', 'D', 'f', 'o', 'O', '5017', '339', '1741', 'P']","Y, 8161, z, I, X, U, k, 4305, s, i, D, f, o, O, 5017"
19,task075_squad1.1_answer_generation,"This task is about writing a correct answer for the reading comprehension task. Based on the information provided in a given passage, you should identify the shortest continuous text span from the passage that serves as an answer to the given question. Avoid answers that are incorrect or provides incomplete justification for the question.

Passage: John wanted John de Gray, the Bishop of Norwich and one of his own supporters, to be appointed Archbishop of Canterbury after the death of Walter, but the cathedral chapter for Canterbury Cathedral claimed the exclusive right to elect Walter's successor. They favoured Reginald, the chapter's sub-prior. To complicate matters, the bishops of the province of Canterbury also claimed the right to appoint the next archbishop. The chapter secretly elected Reginald and he travelled to Rome to be confirmed; the bishops challenged the appointment and the matter was taken before Innocent. John forced the Canterbury chapter to change their support to John de Gray, and a messenger was sent to Rome to inform the papacy of the new decision. Innocent disavowed both Reginald and John de Gray, and instead appointed his own candidate, Stephen Langton. John refused Innocent's request that he consent to Langton's appointment, but the pope consecrated Langton anyway in June 1207. Question: Who did Innocent disavow?",Reginald and John de Gray
20,task1088_array_of_products,"You are given a list of integers. A list is shown by comma-separated numbers between two brackets. For example, [7,3,6] is a list. The number in location one is 7, the number in location two is 3, and the number in location three is 6. You should answer with a list such that every element at each location is equal to the product of elements at every other location in the input array. For example, if a list has four numbers, the answer you give should be created like this: First element of your list = product of second, third, and fourth elements in the given list. Second element of your list = product of First, third and fourth elements in the given list, etc.

[9, 12, 8, 0, 10, 3, 7, 14]","[0, 0, 0, 2540160, 0, 0, 0, 0]"
21,task089_swap_words_verification,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.

A couple sheep of standing next to each other","(3, 4)"
22,task097_conala_remove_duplicates,"In this task you will be given a list of numbers and you should remove all duplicates in the list. If every number is repeated in the list an empty list should be returned. Your list should be numbers inside brackets, just like the given list.

[7, 2, 2, 6, 2, 6, 2, 2, 7]",[]
23,task100_concatenate_all_elements_from_index_i_to_j,"In this task, you are given inputs i,j, and A, where i and j are integers and A is a list. You need to concatenate all elements of A from the ith element to the jth element, and print the resultant string. i and j will be non-negative, and will always have a value less than the length of A. i will always be less than j.

17, 19, ['Q', 'W', 'J', 'n', 't', '9031', 'W', 'W', '3149', '3293', 'P', '4405', '2097', 'n', '9845', '4823', 'c', 'b', '5491']",cb5491
24,task002_quoref_answer_generation,"In this task, you're expected to write answers to questions involving multiple references to the same entity. The answer to the question should be unambiguous and a phrase in the paragraph. Most questions can have only one correct answer.

Passage: The earthquake swarm was noted on October 12, 2007 in the Prince George Citizen by citizen staff, three days after the earthquakes began. Scientists mentioned in the report were seismologist John Cassidy of Natural Resources Canada and volcanologist Catherine Hickson, who was part of the Geological Survey of Canada at the time. At the time of the report, scientists did not know the origin of the swarm. Seismologist John Cassidy stated, ""the depth is enough to rule out hydrothermal but it's up in the air as to whether the cause is tectonic shifts or volcanic activity. If it is volcanic there are certain characteristics that we would expect, there's a tremor-like character to it. And so we'll be looking for the types of events that we see beneath volcanoes and we'll be looking to see if they're getting closer to the surface or if they're migrating at all.""Even if the Nazko swarm were a warning of a volcanic eruption, Hickson doubted it would turn out to be a highly explosive eruption like those that can occur in subduction-zone volcanoes. ""We're not talking about an injection of tonnes of ash many kilometers into the air like the 1980 Mount St. Helens eruption or the 1991 Mount Pinatubo eruption. We're talking about something very small, relatively localized that should have a fairly limited impact... but it'll be extremely exciting"", Hickson said. If an eruption were to occur, Hickson suggested that it would be characterized by a lava fountain that sends globs of lava 100 m (330 ft) into the air. This is similar to those that occur in Hawaii. Hickson said that a Nazko eruption could be a tourist attraction, but warned that noxious gases such as carbon dioxide and sulfur dioxide would be released during the event. 
Question: What is the first name of the person who doubted it would turn out to be a highly explosive eruption like those that can occur in subduction-zone volcanoes?",Catherine.
25,task063_first_i_elements,"In this task, you are given inputs i and A, where i is an integer and A is a list. You need to output the first i elements of A, starting with the 1st element in A. i will always have a value less than the length of A

2, ['3747', '4369', '3833', 't', '2961', 'l', '2445', 'J', '6737', 'y', '2991', '8065', '5733', '6981', '135', 'g']","3747, 4369"
26,task073_commonsenseqa_answer_generation,"You are given a question and some answer options (associated with ""A"", ""B"", ""C"", ""D""). You should choose the correct answer based on commonsense knowledge. Avoid answering questions based on associations, the set of answers are chosen deliberately to capture common sense beyond associations. Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D', 'E' and only give one answer for each question.

What do people aim to do at work?
(A)complete job (B)learn from each other (C)kill animals (D)wear hats (E)talk to each other",A
27,task095_conala_max_absolute_value,"In mathematics, the absolute value of a number is the non-negative value of that number, without regarding its sign. For example, the absolute value of -2 is 2, and the absolute value of 5 is 5. In this task you will be given a list of numbers and you need to return the element with highest absolute value. If a negative and positive element have the same absolute value you should return the positive element. The absolute value for negative numbers can be found by multiplying them by -1. After finding the element with the maximum absolute value you should return the value of that element before you applied the absolute value.

[ -9.975 -63.26    7.297  90.788]",90.788
