id,prompt_name,input,target,source
53,which_section,"Budget ax falls on lunar probe Politics, Texas-style, led to NASA and its shuttle program getting their best treatment in decades from Congressional budget writers. 

Which section of a newspaper would this article likely appear in?",Sci/Tech,ag_news
54,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Wireless Internet Siemens Sets Wireless Data Speed Record In order to achieve the speed of one gigabit per second, Siemens combined an  quot;intelligent antenna system quot; consisting of three transmitting and four receiving antennas with Orthogonal Frequency Division Multiplexing.",Sci/Tech,ag_news
55,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Sudan Talks in Nigeria Said Deadlocked (Reuters) Reuters - After two weeks of talks to end the\crisis in Sudan's Darfur region, government and rebel\negotiators remain far apart on key security issues, including\disarming warring factions, rebels and diplomats said on\Monday.",World,ag_news
56,classify,"Amazon moves into China US internet giant Amazon.com is buying China's largest web retailer Joyo.com, in a deal worth \$75m (41m). 
What label best describes this news article?",Business,ag_news
57,classify_question_first,"What label best describes this news article?
Busch's ambience set it apart from others ST. LOUIS -- Even a cookie-cutter stadium -- which is the pejorative term that came to describe the multipurpose bowls that seemed to spring up simultaneously in Pittsburgh, Cincinnati, Atlanta, Queens, Philadelphia, and St. Louis in the late 1960s and early '70s -- can have their quirks.",Sports,ag_news
58,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
U2 pitches for Apple New iTunes ads airing during baseball games Tuesday will feature the advertising-shy Irish rockers.",Sci/Tech,ag_news
59,which_section,"Tests Show No Mad Cow, Cattle Prices Rise  WASHINGTON/CHICAGO (Reuters) - An animal suspected of  having mad cow disease was given a clean bill of health in a  second round of sophisticated testing, the U.S. Agriculture  Department said on Tuesday after cattle prices soared in  expectation of the news. 

Which section of a newspaper would this article likely appear in?",Business,ag_news
60,which_section,"Siemens issue warning over 65 series handsets Siemens has posted a warning over its latest range of mobile phones suggesting that a flaw in them may hurt user while using them. 

Which section of a newspaper would this article likely appear in?",Sci/Tech,ag_news
61,classify,"CA Updates PestPatrol Anti-Spyware Technology Computer Associates (CA) on Monday rolled out new editions of PestPatrol, the anti-spyware technology it picked up in August when it purchased the privately-held Pennsylvania company. 
What label best describes this news article?",Sci/Tech,ag_news
62,which_section_choices,"American Deserters Find a Mixed Reception in Canada Despite Canada's opposition to the Iraq war, the government also is opposing the U.S. deserters' refugee applications, saying the soldiers are not persecuted. It is resisting the argument that the Iraq war is illegal. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World,ag_news
63,which_section,"St. Louis Rams Release Punter Sean Landeta (AP) AP - Shaky special teams helped cost punter Sean Landeta his job with the St. Louis Rams. 

Which section of a newspaper would this article likely appear in?",Sports,ag_news
64,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
PA: Gaza to remain occupied land even after disengagement Israel will remain an occupying power in the Gaza Strip even if it carries out the disengagement plan, and should be treated as such, according to a legal document prepared by the Palestinian Authority.",World,ag_news
65,which_section,"Sybase offers free ASE license for Linux Sybase Inc. is trying to lure businesses seeking low-cost open source DBMS alternatives by offering a free production license for its Adaptive Server Enterprise Express Edition on Linux. 

Which section of a newspaper would this article likely appear in?",Sci/Tech,ag_news
66,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Sprint Near Deal to Buy Nextel -Sources (Reuters) Reuters - Sprint Corp. is close to\an agreement to buy Nextel Communications Inc. for about  #36;35\billion in a mostly stock deal that would combine the No. 3 and",Business,ag_news
67,classify_with_choices,"Oil firms in talks to end Nigerian jobs protest Multinational companies began talks Monday with Nigerian villagers occupying three oil platforms in a dispute over jobs which shut 90,000 barrels per day of oil production. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World,ag_news
68,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Frances Postpones Third Cubs-Marlins Game (AP) AP - The Florida Marlins postponed Sunday's game against the Chicago Cubs as Hurricane Frances crept ashore on the eastern coast of Florida.",Sports,ag_news
69,which_section,"Calpers to begin search for new President NEW YORK, December 3 (newratings.com) - The Board members of the Californian state pension fund, Calpers (California Public Employees Retirement System), are scheduled to begin the process of selecting a new President today, after Sean Harrigan was  

Which section of a newspaper would this article likely appear in?",Business,ag_news
70,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Rooney brought down to earth After a debut that was the stuff of fantasy, Wayne Rooney was introduced to the real Manchester United yesterday. The 18-year-old could have been forgiven for thinking that life",Sports,ag_news
71,which_section,"Mistakes hinder Knicks in loss It will be labeled a learning experience, but that won #39;t remove any of the sting. Momentum was lost again Wednesday night as the Knicks blew a lead and lost 94-93 to the Detroit Pistons at Madison Square Garden. 

Which section of a newspaper would this article likely appear in?",Sports,ag_news
72,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Pitt Locks Up BCS Bid Tyler Palko tosses a career-high 411 yards and five touchdowns to push No. 19 Pittsburgh over South Florida, 43-14, on Satudray.",Sports,ag_news
73,which_section,"Expectations Low for Georgia Basketball (AP) AP - Georgia is likely to have a dismal season on the basketball court. 

Which section of a newspaper would this article likely appear in?",Sports,ag_news
74,which_section_choices,"Nippon Steel to pay double for coal next year Nippon Steel, Japans leading steelmaker, has agreed to pay a record price of more than \$120 per tonne for coking coal from next spring to Australias BHP Billiton Mitsubishi  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Business,ag_news
75,which_section_choices,"Red Hat exec takes Sun to task on open source A top Red Hat executive has attacked the open-source credentials of its sometime business partner Sun Microsystems. In a Web log posting Thursday, Michael Tiemann, Red Hat #39;s vice president of open-source affairs  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Sci/Tech,ag_news
76,classify_with_choices,"Marchers demand fair Ukraine poll Tens of thousands march in a tense Kiev in support for the opposition ahead of next weekend's election. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World,ag_news
77,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Tremor shakes Athens, no damage ATHENS - An earthquake rattled Athens on Tuesday, including the Olympic venues in the Greek capital. The Athens Geodynamic Institute said that there was a tremor, but few other details were known, such as the magnitude or epicentre of the quake.",Sports,ag_news
78,classify_with_choices,"Economy builds steam in KC Fed district The economy continued to strengthen in September and early October in the Great Plains and Rocky Mountain regions covered by the Tenth Federal Reserve District, the Federal Reserve Bank of Kansas City said Wednesday. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Business,ag_news
79,classify_question_first,"What label best describes this news article?
Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.",Business,ag_news
80,classify_question_first,"What label best describes this news article?
FTC wants spammer bounties Congress has asked the US Federal Trade Commission (FTC) to look into spam reduction measures, including a  quot;Do Not Spam quot; list idea passed with the CAN-SPAM Act.",Sci/Tech,ag_news
81,classify_with_choices,"South Korea #39;s police round up striking civil servants SEOUL: South Korea #39;s police detained more than 140 public sector workers for their involvement in an unprecedented illegal strike against a controversial government labor reform bill, officials said. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World,ag_news
82,classify_with_choices,"Stocks creep higher in New York NEW YORKUS blue-chip stocks ended barely higher yesterday as a spike in oil prices to record closing levels pared earlier gains and renewed concerns about the effect of high energy prices on consumer spending and corporate profits. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Business,ag_news
83,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Microsoft braces for EU anti-trust appeal US software giant Microsoft said it will abide by whatever ruling is handed down by a European appeal court hearing due to start this week against an EU condemnation for abusing its market dominance.",Business,ag_news
84,classify,"Bangladesh paralysed by strikes Opposition activists have brought many towns and cities in Bangladesh to a halt, the day after 18 people died in explosions at a political rally. 
What label best describes this news article?",World,ag_news
85,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
1,600 internet cafes closed in China The Chinese local governments have closed 1600 Internet cafes and fined operators a total of 100m yuan (\$12m) between February and August this year.",Sci/Tech,ag_news
86,classify,"AUSTRALIA ROMP TO HISTORIC WIN Australia wrapped up their first series win in India in 35 years after an overwhelming victory by 342 runs in the third Test in Nagpur. 
What label best describes this news article?",Sports,ag_news
87,classify_question_first,"What label best describes this news article?
Yahoo, Adobe team up on new Web services Yahoo Inc. and Adobe Systems Inc. have joined forces to tap each others #39; customers and put Web search features into Adobe #39;s popular Acrobat Reader software.",Business,ag_news
88,which_section_choices,"Turnaround Progress Seen, 2 Executives to Leave Ford Two of the Ford Motor Company's most senior executives retired in a sign that the company's deep financial crisis has abated, though serious challenges remain. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Business,ag_news
89,classify,"800M PLEDGED FOR VIRGIN BOSS #39;S SPACE TRIPS MORE than 800million has been pledged to Sir Richard Branson #39;s space travel adventure - - years before the ship has even been built. 
What label best describes this news article?",Sci/Tech,ag_news
90,classify_question_first,"What label best describes this news article?
\$10 million space shot A star-spangled rocket plane returned to space yesterday, enabling a team of entrepreneurs to collect a \$10 million prize for developing the first reusable private spacecraft.",Sci/Tech,ag_news
91,classify,"Valentine back in Japan for Autumn camp Lotte Marines manager Bobby Valentine is back in Japan to take part in his team #39;s Autumn training camp. Valentine, who had been mentioned as a possible candidate to replace Art Howe as manager  
What label best describes this news article?",Sports,ag_news
92,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Indonesia's Yudhoyono rejects foreign help to solve Aceh conflict (AFP) AFP - A state of civil emergency in the rebellion-hit Indonesian province of Aceh has been formally extended by six month, as the country's president pledged to end violence there without foreign help.",World,ag_news
93,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Some fear it's a passport to identity theft It's December 2005 and you're all set for Christmas in Vienna. You have your most fashionable cold-weather gear, right down to the red maple leaves embroidered on your jacket and backpack, to conceal your American citizenship from hostile denizens of Europe.",Business,ag_news
94,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
IOC Sets Up Disciplinary Commission To Investigate Jones Doping &lt;b&gt;...&lt;/b&gt; The International Olympic Committee (IOC) announced Tuesday that IOC President Jacques Rogge has set up a Disciplinary Commission to investigate remarks on ABCs 20/20 Friday, made by Victor Conte, head of the California-based Balco laboratory, on ABC",Sports,ag_news
95,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

S African TV in beheading blunder Public broadcaster SABC apologises after news bulletin shows footage of American beheaded in Iraq.",World,ag_news
96,classify_question_first,"What label best describes this news article?
Quiz Eisner in shareholder suit Disney big cheese Michael Eisner took the witness stand for the first time yesterday in an ongoing shareholder lawsuit, defending his choice of ex-super talent agent Michael Ovitz as Disney #39;s No.",Business,ag_news
97,classify_with_choices,"Iraq ; Black Watch look to Christmas Soldiers declared  quot;mission accomplished quot; as the battle group convoy of more than 200 vehicles arrived at the relative safety of Shaibah Logistics Base. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World,ag_news
98,classify_with_choices,"Feds go after  #39;Spam King #39; Federal attorneys are trying to shut down an allegedly illicit Internet business operated out of a dance club in Rochester that is deluging computers with unwanted pop-up ads by hijacking their browsers. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Sci/Tech,ag_news
99,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Barclays takes look at Absa Barclays said Thursday that it was in  quot;early stage quot; talks about buying control of South Africa #39;s Absa Group for at least \$3 billion in what would be its largest purchase outside Britain.",Business,ag_news
100,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

RBC Centura CEO steps down RALEIGH, NC - The head of RBC Centura Bank has stepped down, and his successor will run the bank out of Raleigh rather than Rocky Mount, where the bank is based.",Business,ag_news
101,which_section,"Plans put on hold for pro SCO website Infoworld reports that SCO #39;s briefly planned foray into Groklaw territory announced last month has been put on the back burner. 

Which section of a newspaper would this article likely appear in?",Sci/Tech,ag_news
102,which_section,"Having the final say FOXBOROUGH -- The Patriots have won 20 games in a row, and yesterday they tied the NFL record for most consecutive regular-season wins (17). Those are feats that take all the emotion the players can muster week after week. 

Which section of a newspaper would this article likely appear in?",Sports,ag_news
103,which_section_choices,"Report Alleges Gay Abuse in Jamaica (AP) AP - A report by a watchdog agency alleges widespread abuse against gays in this Caribbean island, known for the slogan ""one love."" 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World,ag_news
104,classify,"New GuruNet Beta includes Desktop Search New GuruNet Beta includes Desktop Search\\Bob Rosenschein and his team are online with the beta release of a new Gurunet client (ver. 5.2, Windows only). Their useful GuruNet answer/reference tool now includes a desktop search app. We haven't has a chance to try it out yet (we will) but we ... 
What label best describes this news article?",Sci/Tech,ag_news
105,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Mutombo says he #39;s being traded to Rockets; will back up, mentor &lt;b&gt;...&lt;/b&gt; Dikembe Mutombo, 38, has agreed to a sign-and-trade deal that will send him from the Chicago Bulls to Houston in exchange for Eric Piatkowski, Adrian Griffin and Mike Wilks, the Houston Chronicle reports.",Sports,ag_news
106,classify_with_choices,"MPAA Starts Suing Today the MPAA (Motion Picture Association of America) announced today that it had filed an unspecified amount of lawsuits against people who trade Movies using p2p (peer-to-peer) programs. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Sci/Tech,ag_news
107,classify_question_first,"What label best describes this news article?
Schroeder #39;s SPD Routed in Saarland, Far Right Gains German Chancellor Gerhard Schroeder #39;s Social Democrats slumped to their worst result in 44 years in the western state of Saarland on Sunday as voters punished the party for its painful economic reforms.",World,ag_news
108,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Rumsfeld Sees U.S. Troops Leaving Iraq Within 4 Years The defense secretary also cautioned that any final decision hinged on the progress of Iraq's new government.",World,ag_news
