id,prompt_name,input,target
10,task103_facts2story_long_text_generation,"In this task, five ordered key facts are given. All the given facts are expressed in natural language. Your job is to generate a story 100 to 1000 words long, that includes all the facts given as input in their order of appearance while expanding upon them to produce a broader, yet coherent, narrative.

Fact1: young woman goes dipping in ocean, Fact2: medical examiner 's ruling that death was due to shark attack leads police chief Martin Brody to close beaches, Fact3: Hooper and Brody find half-sunken vessel while searching night waters in Hooper 's boat, Fact4: huge great white shark refuses to close beaches, Fact5: Quint Brody and Hooper set out on Quint 's boat to hunt shark","During a beach party at dusk on Amity Island, a young woman, Chrissie Watkins, goes skinny dipping in the ocean. While treading water, she is violently pulled under. The next day, her partial remains are found on shore. The medical examiners ruling that the death was due to a shark attack leads police chief Martin Brody to close the beaches. Mayor Larry Vaughn overrules him, fearing that the towns summer economy will be ruined. The coroner now concurs with the mayors theory that Watkins was killed in a boating accident. Brody reluctantly accepts their conclusion until another fatal shark attack occurs shortly thereafter. A bounty is placed on the shark, prompting an amateur sharkhunting frenzy. Local professional shark hunter Quint offers his services for 10,000. Meanwhile, consulting oceanographer Matt Hooper examines Watkinss remains, and confirms her death was caused by a shark—an unusually large one. When local fishermen catch a tiger shark, the mayor proclaims the beaches safe. Hooper disputes that it is the same predator, confirming this after no human remains are found inside it. Hooper and Brody find a halfsunken vessel while searching the night waters in Hoopers boat. Underwater, Hooper retrieves a sizable great white sharks tooth embedded in the submerged hull. He drops it in fright after encountering a partial corpse. Vaughn discounts Brody and Hoopers claims that a huge great white shark is responsible for the deaths, and refuses to close the beaches, allowing only added safety precautions. On the Fourth of July weekend, tourists pack the beaches. Following a juvenile prank, the real shark enters a nearby estuary, killing a boater and causing Brodys oldest son, Michael, to go into shock. Brody then convinces Vaughn to hire Quint. Quint, Brody, and Hooper set out on Quints boat, the Orca, to hunt the shark. While Brody lays down a chum line, Quint waits for an opportunity to hook the shark. Without warning, it appears behind the boat. Quint, estimating its length at 25 feet 7.6 m, harpoons it with a line attached to a flotation barrel, but the shark pulls the barrel underwater and disappears. At nightfall, the shark returns unexpectedly, ramming the boats hull, and disabling the power. The men work through the night, repairing the engine. In the morning, Brody attempts to call the Coast Guard, but Quint smashes the radio. After a long chase, Quint harpoons another barrel into the shark. The line is tied to the stern cleats, but the shark drags the boat backward, swamping the deck and flooding the engine compartment, before breaking the cleats off. Quint severs the line to prevent the transom from being pulled out. He heads toward shore to draw the shark into shallower waters, but the overtaxed engine fails. With the Orca slowly sinking, the trio attempt a riskier approach. Hooper puts on scuba gear and enters the water in a sharkproof cage, intending to lethally inject the shark with strychnine, using a hypodermic spear. The shark demolishes the cage before Hooper can inject it, but he manages to escape to the seabed. The shark then attacks the boat directly and devours Quint. Trapped on the sinking vessel, Brody stuffs a pressurized scuba tank into the sharks mouth, and, climbing the mast, shoots the tank with a rifle. The resulting explosion obliterates the shark. Hooper surfaces, and he and Brody paddle to Amity Island clinging to boat wreckage."
11,task022_cosmosqa_passage_inappropriate_binary,"Read the given context and if the the context is inappropriate (e.g., pornographic) or nonsensical (e.g., cannot determine what happenings the context is about), indicate via ""yes"". Otherwise, response via ""no"".

Context: As I was crawling back into bed I realized I did n't feel like puking . The morning sickness has n't been bad , but it 's there . This morning I laid there for a few minutes waiting for the familiar wave of nausea to hit me . When it did n't I woke up Chris and preceded to get a little scared about it .",No.
12,task098_conala_list_intersection,"In this task you will be given two lists of numbers and you need to calculate the intersection between these two lists. The intersection between two lists is another list where every element is common between the two original lists. If there are no elements in the intersection, answer with an empty list. Your list of numbers must be inside brackets. Sort the numbers in your answer in an ascending order, that is, no matter what the order of the numbers in the lists is, you should put them in your answer in an ascending order.

[3, 9, 8, 8, 2, 2, 6, 4] , [7, 2, 8, 1, 3, 5, 6, 8]","[2, 3, 6, 8]"
13,task104_semeval_2019_task10_closed_vocabulary_mathematical_answer_generation,"You are given a mathematical question described with a circumscribed mathematical vocabulary. Questions in this task usually contain some variables (e.g. X, Y), equations (e.g. X+Y=3) and some relationships (X is greater than Y). Often you need to find the value of the variable using equations and relationships. You are also given 4 or 5 answer options (associated with ""A"", ""B"", ""C"", ""D"", ""E""). Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D', 'E'. LaTeX mathematical format (the standard way to express mathematical expressions in the typesetting software known as LaTeX) is used to express equations. Each question is solvable with high school math knowledge. Give only one answer for each question.

If \(3y^4 + xy - x^2 = y^2 - 25\) and \(y = 0\), how many possible values of \(x\) are there?
(A)0 (B)1 (C)2 (D)3 (E)4",C
14,task091_all_elements_from_index_i_to_j,"In this task, you are given inputs i,j, and A, where i and j are integers and A is a list. You need to list all elements of A from the ith element to the jth element. i and j will be non-negative, and will always have a value less than the length of A. i will always be less than j.

6, 6, ['T', 'N', 'r', '8571', 's', '1785', '1561', '505', '7453', '2173', 'c', 'x', 'k', '9001', '1275', '6857', 's', 'B', 'r', 'r', 'd', '783', '8165', '9507', 'v', '9097', 'P']",1785
15,task112_asset_simple_sentence_identification,"You will be given two pieces of text with the same meaning. One of them is simpler and easier to understand for non-native English speakers. Complex texts may contain more difficult words, have unnecessary phrases or contain long sentences. Your task is to choose the simpler piece of text. You are expected to output 'Text one' if the first sentence is simpler. Otherwise output 'Text two'.

Text one: Astronomers from the ESO announce that there is a planet orbiting a brown dwarf about 230 light years away.
 Text two: Astronomers from the ESO announce that there is a planet orbiting a brown dwarf about 230 light years away.",Text one
16,task068_abductivenli_incorrect_answer_generation,"In this task, you're shown a three-part story, with a beginning, middle, and ending. Your job is to slightly modify the middle part, so that the whole story becomes unlikely, improbable, or inconsistent. Generated sentences must minimally alter the given middle, with at most 4 new words added/existing words removed. Your sentence should be grammatically and syntactically correct. Also stick to the context of the given story. For example, if the story talks about ""doctors"", you can talk about ""health"" or ""diagnosis"", but don't mention ""aliens"". Avoid introducing any extra/irrelevant information, and use names instead of pronouns (e.g. he / she) wherever possible. Avoid simply negating the original middle, for example:  ""She likes cakes."" is changed to ""She doesn't like cakes.""

Beginning: Lizbeth moved into her very first apartment. Middle: Lizbeth however had to replace the showerhead. Ending: The showerhead looked like it was brand new the next morning.",Lizbeth didnt have to replace the showerhead.
17,task097_conala_remove_duplicates,"In this task you will be given a list of numbers and you should remove all duplicates in the list. If every number is repeated in the list an empty list should be returned. Your list should be numbers inside brackets, just like the given list.

[1, 1, 3, 7, 1, 2, 7, 1, 0, 0]","[3, 2]"
18,task080_piqa_answer_generation,"In this task the focus is on physical knowledge about the world. Given the provided goal task in the input, describe a process that would lead to the asked outcome. This process often involves physical motions with objects, such as moving them, arranging them in a certain way, mixing them, shaking them, etc.

How do you make a copy of something with your printer?",Raise the top of the printer and reveal the copy section. Place the thing you want to make a copy of face down and press the copy button.
19,task088_identify_typo_verification,"The given sentence contains a typo which could be one of the following four types: (1) swapped letters of a word e.g. 'niec' is a typo of the word 'nice'. (2) missing letter in a word e.g. 'nic' is a typo of the word 'nice'. (3) extra letter in a word e.g. 'nicce' is a typo of the word 'nice'. (4) replaced letter in a word e.g 'nicr' is a typo of the word 'nice'. You need to identify the typo in the given sentence. To do this, answer with the word containing the typo.

Tehre is a teddy bear inside the dryer.",Tehre
20,task103_facts2story_long_text_generation,"In this task, five ordered key facts are given. All the given facts are expressed in natural language. Your job is to generate a story 100 to 1000 words long, that includes all the facts given as input in their order of appearance while expanding upon them to produce a broader, yet coherent, narrative.

Fact1: Seventeen-year-old Tommy Ryan lives with Mrs. O‘Meara and teenage son, Fact2: Tommy is friend of son, Fact3: Eddie and stays here with us and finer lad friend of never trod green earth son, Fact4: foster brother hanging around pool hall with gang of teenage thieves led by Mike Hearn, Fact5: Hearn decided to get boy out of way by staging robbery at gas station and then framing him","Seventeenyearold Tommy Ryan lives with Mrs. O‘Meara, a seamstress, and her teenage son Eddie. Tommy’s exact status is unclear; Mrs. O’Meara’s says he is a friend of her son Eddie and “stays here with us and a finer lad never trod the green earth.” Tommy works in a grocery store and more than pulls his weight around the O’Meara home, but his foster brother Eddie is unemployed and hanging around a pool hall with a gang of teenage thieves led by Mike Hearn, the pool hall owner. Hearn promises teenage ‘Knuckles’ Malone 50 to steal a fur coat from a warehouse and sends Eddie O’Meara along to drive the getaway car. When the heist is thwarted and Knuckles nabbed by the police, Eddie escapes with the stolen goods and returns home. Tommy tries to repair the damage and keep the incident from Mrs. O’Meara by dumping the car and the furs outside of town. He is picked up by the police. In court, Tommy takes the rap in order to spare Mrs. O’Meara the grief of seeing her son implicated in the crime. Tommy and Knuckles are sentenced to the State Industrial School for three years. When alone for a moment with Eddie, Tommy urges him to take good care of his mother. At the State School, Tommy remains true to himself. He is honest, hard working, and well mannered. Dr. Owens, once a reform school inmate himself but now a morally upright professional man, takes an interest in the boy and urges him to plan for life after prison. He has Tommy removed from the crew at the school’s farm to work in his office. One day, Tommy discovers Eddie O’Meara is an inmate in the reformatory. Eddie dropped out of Hearn’s gang of thieves and found a job in order to take care of his mother, but Hearn feared Eddie would squeal to the police about the gang’s past. Hearn decided to get the boy out of his way by staging a robbery at the gas station where the boy worked and then framing him. Hearn now fears that Tommy, Eddie, and Knuckles will now “squawk” and realizes his operation is still in jeopardy. He decides to “spring” the three boys from prison and to silence them once he has them in his clutches. Tommy is reluctant to participate in the escape but when he learns that Hearn threats to rough up Mrs. O’Meara he has no choice but to escape and protect her. The escape plan is foiled, but later, Tommy and Knuckles manage to escape at gunpoint. At the pool hall, Tommy convinces Hearn he is on his side. A heist is planned. Tommy secretly makes plans to meet Dr. Owens at the site of the heist to apprehend Hearn and his gang. Hearn and his men are taken into custody after a car chase. With Dr. Owens assistance, Tommy and Eddie are paroled and restored to Mrs. O’Meara."
21,task081_piqa_wrong_answer_generation,"You will be asked how to do a certain task. You should describe a physical process that does not lead to the asked outcome, yet it is closely related to it (i.e., it should use the words that are provided in the input). The physical process can be moving something, arranging something in a certain way, mixing things, shaking them, etc. To make sure that the generated process does not lead to the asked outcome, you can introduce objects or events unrelated to the context of the question e.g. 'cleaning the keyboard by making an elephant sit on them'; or you can create contradictory statements e.g. 'drying wet keyboards with running water'. In your responses, avoid typos and misspellings.

how do you splurge on something?",buy a piece of it.
22,task109_smsspamcollection_spamsmsdetection,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.

Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;",ham
23,task111_asset_sentence_simplification,"Rewrite each original sentence in order to make it easier to understand by non-native speakers of English. You can do so by replacing complex words with simpler synonyms (i.e. paraphrasing), deleting unimportant information (i.e. compression), and/or splitting a long complex sentence into several simpler ones. The final simplified sentences need to be grammatical, fluent, and retain the main ideas of their original counterparts without altering their meanings.

12 - hour clock times end with dotted or undotted lower-case or, or or, which are spaced (or, not or).","12 - hour clock times end with dotted or undotted lower-case or, or or, which are spaced."
24,task044_essential_terms_identifying_essential_words,"You are given an elementary science question along with a few answer options. List all the words from the question that are essential and sufficient for choosing the correct answer option. Keep in mind that essential words are necessary to understand the meaning of the given question. However, non-essential words provide little information needed to select the correct answer. You can think about it like this: If the question was in another language, knowing the meaning of which words were necessary and enough for you to understand the question and answer it?. If your answer consists of multiple spans of words from the question, separate those using a comma ("", ""). Do not generate any word that is not present in the question. Make sure that your response is contained in the given question and the words are in the same order as the question.
 Grammatical correctness is not important.

Question: An example of a learned trait is (A) being able to read(B) being able to breathe(C) having a scar(D) having brown eyes?","learned, trait"
25,task068_abductivenli_incorrect_answer_generation,"In this task, you're shown a three-part story, with a beginning, middle, and ending. Your job is to slightly modify the middle part, so that the whole story becomes unlikely, improbable, or inconsistent. Generated sentences must minimally alter the given middle, with at most 4 new words added/existing words removed. Your sentence should be grammatically and syntactically correct. Also stick to the context of the given story. For example, if the story talks about ""doctors"", you can talk about ""health"" or ""diagnosis"", but don't mention ""aliens"". Avoid introducing any extra/irrelevant information, and use names instead of pronouns (e.g. he / she) wherever possible. Avoid simply negating the original middle, for example:  ""She likes cakes."" is changed to ""She doesn't like cakes.""

Beginning: Tommy stole some candy one day. Middle: Tommy felt guilty and wanted to do something about it. Ending: So Tommy decided to tell his dad and never stole again.",Tommy felt guilty and wanted to do something about it but didn't.
26,task095_conala_max_absolute_value,"In mathematics, the absolute value of a number is the non-negative value of that number, without regarding its sign. For example, the absolute value of -2 is 2, and the absolute value of 5 is 5. In this task you will be given a list of numbers and you need to return the element with highest absolute value. If a negative and positive element have the same absolute value you should return the positive element. The absolute value for negative numbers can be found by multiplying them by -1. After finding the element with the maximum absolute value you should return the value of that element before you applied the absolute value.

[-34.797  -9.949 -76.614 -17.02   46.251]",-76.614
27,task093_conala_normalize_lists,"In this task, you will be given a list of numbers. The goal is to divide all the numbers in the list by a constant such that the sum of the resulting list is 1. The output should be rounded to 3 decimals.

[28.493, -96.408, 5.159, 28.742, 130.788]",[ 0.294 -0.996  0.053  0.297  1.351]
28,task090_equation_learner_algebra,"A ploynomial equation is a sum of terms. Here each term is either a constant number, or consists of the variable x raised to a certain power and multiplied by a number. These numbers are called weights. For example, in the polynomial: 2x^2+3x+4, the weights are: 2,3,4. You can present a polynomial with the list of its weights, for example, equation weights = [6, 4] represent the equation 6x + 4 and equation weights = [1, 3, 4] represent the equation 1x^2 + 3x + 4. In this task, you need to compute the result of a polynomial expression by substituing a given value of x in the given polynomial equation. Equation weights are given as a list.

x = 9, equation weights = [5, 0]",45
29,task111_asset_sentence_simplification,"Rewrite each original sentence in order to make it easier to understand by non-native speakers of English. You can do so by replacing complex words with simpler synonyms (i.e. paraphrasing), deleting unimportant information (i.e. compression), and/or splitting a long complex sentence into several simpler ones. The final simplified sentences need to be grammatical, fluent, and retain the main ideas of their original counterparts without altering their meanings.

12 - hour clock times end with dotted or undotted lower-case or, or or, which are spaced (or, not or).",12 - hour clock times end with a space and is followed by a.m. or p.m.  The latter may be dotted or undotted lower-case.
30,task076_splash_correcting_sql_mistake,"In this task you are expected to fix an SQL query based on feedback. You will be given an SQL statement and an English description with what is wrong about that SQL statement. You must correct the SQL statement based off of the feedback. An SQL query works by selecting data from a table where certain conditions apply. A table contains columns where every row in that table must have a value for each column. Every table has a primary key that uniquely identifies each row, usually an id. To choose which columns are returned you specify that after the ""SELECT"" statement. Next, you use a ""FROM"" statement to specify what tables you want to select the data from. When you specify a table you can rename it with the ""AS"" statement. You can reference that table by whatever name follows the ""AS"" statement. If you want to select data from multiple tables you need to use the ""JOIN"" statement. This will join the tables together by pairing a row in one table with every row in the other table (Cartesian Product). To limit the number of rows returned you should use the ""ON"" statement. This will only return rows where the condition specified after the statement is true, this is usually an equals operator with primary keys. You can also use the ""WHERE"" statement to specify that only rows with column values statisfying a certain condition, should be returned. The ""GROUP BY"" statement will group rows together that have equal column values for whatever columns follows the statement. The ""HAVING"" statement will return groups that statisfy whatever condition follows the statement. Any column(s) being returned from grouped rows must either be an aggregate function, (AVG, MAX, COUNT, SUM, ...) of a column, or the column(s) that the data was grouped by. To sort the returned data you can use the ""ORDER BY"" command which will order the data by whatever aggregate function or column follows the statement. The ""DESC"" statement will sort in descending order and the ""ASC"" statement will sort in ascending order. Finally, you can use the ""LIMIT"" statement to return a certain number of rows. When ""*"" is used in an SQL statement every column is returned. For example, SELECT * FROM table WHERE attribute = 1, will select every column from rows with the attribute column equal to 1.

SQL: SELECT title FROM film WHERE title LIKE ""Deleted Scenes""
Feedback: It should be special features contains Deleted Scenes"" instead of ""title contains Deleted Scenes"".",SELECT title FROM film WHERE special_features LIKE '%Deleted Scenes%'
31,task084_babi_t1_single_supporting_fact_identify_relevant_fact,"You will be given a passage with an enumerated set of facts, a question of form 'Where is <person_name>?', and its answer. The task is to identify a supporting fact that is necessary to answer the question. The output would be the corresponding fact number.

Passage: Fact 1- Sandra travelled to the office. Fact 2- Sandra went to the bathroom. Fact 3- Mary went to the bedroom. Fact 4- Daniel moved to the hallway. Question: Where is Sandra? Answer: bathroom",Fact 2
32,task100_concatenate_all_elements_from_index_i_to_j,"In this task, you are given inputs i,j, and A, where i and j are integers and A is a list. You need to concatenate all elements of A from the ith element to the jth element, and print the resultant string. i and j will be non-negative, and will always have a value less than the length of A. i will always be less than j.

17, 19, ['Q', 'W', 'J', 'n', 't', '9031', 'W', 'W', '3149', '3293', 'P', '4405', '2097', 'n', '9845', '4823', 'c', 'b', '5491']",cb5491
33,task023_cosmosqa_question_generation,"Based on the given context, craft a common-sense question, especially those that are LONG, INTERESTING, and COMPLEX. The goal is to write questions that are easy for humans and hard for AI machines! To create such questions, here are some suggestions: A. What may (or may not) be the plausible reason for an event? B. What may (or may not) happen before (or after, or during) an event? C. What may (or may not) be a plausible fact about someone (or something)? D. What may (or may not) happen if an event happens (or did not happen)? You can also create other types of questions. DO NOT make your question answerable without looking at the context, or question of which the correct answer can be directly extracted from the context. DO NOT ask a question that requires very specialized knowledge that is not common sense. DO NOT ask too simple or too short questions. Your question must be related to the context and answerable with common sense. Try to add more variations and complexity to the questions.

Context: Good Old War and person L : I saw both of these bands Wednesday night , and they both blew me away . seriously . Good Old War is acoustic and makes me smile . I really can not help but be happy when I listen to them ; I think it 's the fact that they seemed so happy themselves when they played .","In the future , will this person go to see other bands play ?"
34,task110_logic2text_sentence_generation,"In this task, you are given commands (in terms of logical operations) to select relevant rows from the given table. Your job is to generate a natural language interpretation of the given command. 
 Here are the definitions of logical operators: 
 1. count: returns the number of rows in the view 
 2. only: returns whether there is exactly one row in the view 
 3. hop: returns the value under the header column of the row 
 4. and: returns the boolean operation result of two arguments 
 5. max/min/avg/sum: returns the max/min/average/sum of the values under the header column 
 6. nth max/nth min: returns the n-th max/n-th min of the values under the header column 
 7. argmax/argmin: returns the row with the max/min value in header column 
 8. nth argmax/nth argmin: returns the row with the n-th max/min value in header column 
 9. eq/not eq: returns if the two arguments are equal 
 10. round eq: returns if the two arguments are roughly equal under certain tolerance 
 11. greater/less: returns if argument 1 is greater/less than argument 2 
 12. diff: returns the difference between two arguments 
 13. filter eq/not eq: returns the subview whose values under the header column is equal/not equal to argument 3 
 14. filter greater/less: returns the subview whose values under the header column is greater/less than argument 3 
 15. filter greater eq /less eq: returns the subview whose values under the header column is greater/less or equal than argument 3 
 16. filter all: returns the view itself for the case of describing the whole table 
 17. all eq/not eq: returns whether all the values under the header column are equal/not equal to argument 3 
 18. all greater/less: returns whether all the values under the header column are greater/less than argument 3 
 19. all greater eq/less eq: returns whether all the values under the header column are greater/less or equal to argument 3 
 20. most eq/not eq: returns whether most of the values under the header column are equal/not equal to argument 3 
 21. most greater/less: returns whether most of the values under the header column are greater/less than argument 3 
 22. most greater eq/less eq: returns whether most of the values under the header column are greater/less or equal to argument 3

greater { hop { filter_eq { all_rows ; urban area ; madrid } ; population } ; hop { filter_eq { all_rows ; urban area ; porto } ; population } } = true",select the rows whose urban area record fuzzily matches to madrid . take the population record of this row . select the rows whose urban area record fuzzily matches to porto . take the population record of this row . the first record is greater than the second record .
